Name,P4 - Re,P6 - Ob_pos [m],P7 - Ob_H [m],P1 - Delta Cp,P8 - DSP [Pa],P10 - USP [Pa]
DP 192,297.2500000000004,0.37933333333333374,0.22766666666666666,12.7687,3.69865,10.083
DP 193,549.24999999999829,0.53133333333333255,0.22833333333333328,10.409,2.1465,7.35102
DP 194,235.75,0.36733333333333368,0.22899999999999998,13.964,4.60506,11.5871
DP 195,486.24999999999892,0.99666666666667436,0.2296666666666666,10.7198,2.39752,7.75742
DP 196,684.25000000000125,0.43800000000000011,0.23033333333333328,9.85739,1.77307,6.70176
DP 197,568.74999999999864,0.20866666666666667,0.23099999999999993,10.4695,2.05842,7.29319
DP 198,514.74999999999864,0.83800000000000385,0.2316666666666666,10.5366,2.28272,7.55103
DP 199,709.75000000000193,0.886000000000005,0.23233333333333325,9.62183,1.75451,6.56543
DP 200,339.25000000000045,0.40466666666666717,0.23299999999999993,12.16,3.27195,9.35194
DP 201,828.25000000000466,0.34333333333333349,0.23366666666666658,9.48033,1.49921,6.23937
DP 202,988.7500000000083,0.24866666666666665,0.23433333333333325,9.20502,1.27849,5.88099
DP 203,381.25,0.22866666666666668,0.23499999999999988,11.7657,2.93449,8.81733
DP 204,871.75000000000568,0.9180000000000057,0.23566666666666658,9.1289,1.48886,6.05331
DP 205,184.74999999999991,0.84466666666667067,0.2363333333333332,15.4611,5.82653,13.5571
DP 206,775.75000000000341,0.65399999999999969,0.23699999999999988,9.44168,1.62952,6.35036
DP 207,282.25000000000034,0.95400000000000662,0.23766666666666653,12.9453,3.89346,10.3661
DP 208,820.75000000000443,0.56066666666666554,0.2383333333333332,9.35117,1.55242,6.22801
DP 209,283.75000000000028,0.81800000000000339,0.23899999999999985,12.909,3.86994,10.3244
DP 210,483.249999999999,0.900666666666672,0.23966666666666653,10.7284,2.4042,7.7684
DP 211,471.24999999999909,0.77933333333333588,0.24033333333333318,10.8165,2.46364,7.87187
DP 212,159.24999999999994,0.83933333333333726,0.24099999999999985,16.5817,6.72326,15.0141
DP 213,763.75000000000318,0.60599999999999854,0.24166666666666647,9.4818,1.64938,6.39028
DP 214,876.25000000000568,0.77133333333333565,0.24233333333333318,9.12592,1.48354,6.0465
DP 215,309.25000000000045,0.6593333333333331,0.2429999999999998,12.4956,3.57084,9.81864
DP 216,813.25000000000432,0.55799999999999894,0.24366666666666648,9.35487,1.56811,6.24554
DP 217,559.74999999999841,0.35266666666666691,0.24433333333333312,10.4111,2.10174,7.3073
DP 218,229.74999999999994,0.8526666666666709,0.2449999999999998,14.0522,4.74573,11.7718
DP 219,442.74999999999932,0.40733333333333377,0.24566666666666645,11.118,2.58091,8.13991
DP 220,720.25000000000216,0.86866666666667136,0.24633333333333313,9.56308,1.73732,6.51886
DP 221,498.24999999999881,0.27399999999999991,0.24699999999999978,10.8023,2.31172,7.71289
DP 222,525.24999999999852,0.24599999999999997,0.24766666666666645,10.6637,2.18345,7.51533
DP 223,948.25000000000739,0.69266666666666721,0.24833333333333307,8.96649,1.40564,5.88888
DP 224,322.75000000000057,0.30199999999999988,0.24899999999999978,12.3975,3.41398,9.6127
DP 225,963.25000000000773,0.47933333333333306,0.2496666666666664,9.03096,1.36588,5.88136
DP 226,291.25000000000034,0.44866666666666666,0.25033333333333307,12.8037,3.76347,10.1653
DP 227,492.24999999999886,0.82466666666667021,0.25099999999999972,10.6555,2.3702,7.69794
DP 228,913.75000000000659,0.41933333333333361,0.25166666666666637,9.17198,1.41834,6.00433
DP 229,922.75000000000682,0.867333333333338,0.25233333333333308,8.97886,1.43185,5.92128
DP 230,990.25000000000841,0.37266666666666703,0.25299999999999973,9.05492,1.31597,5.84343
DP 231,364.75000000000011,0.368666666666667,0.25366666666666637,11.8447,3.0696,8.99195
DP 232,972.250000000008,0.67133333333333334,0.25433333333333308,8.90557,1.3766,5.82938
DP 233,520.74999999999852,0.24733333333333329,0.25499999999999967,10.672,2.22442,7.56043
DP 234,960.25000000000773,0.39533333333333381,0.25566666666666638,9.08233,1.35794,5.8991
DP 235,300.25000000000045,0.99400000000000754,0.25633333333333297,12.6414,3.68021,10.0009
DP 236,711.25000000000193,0.87666666666667159,0.25699999999999967,9.57528,1.75246,6.5401
DP 237,651.25000000000057,0.3153333333333333,0.25766666666666632,9.99574,1.85215,6.85002
DP 238,427.74999999999949,0.46999999999999975,0.25833333333333297,11.1867,2.671,8.26434
DP 239,805.75000000000409,0.94866666666667321,0.25899999999999967,9.26397,1.59611,6.22809
DP 240,424.74999999999949,0.98600000000000732,0.25966666666666632,11.1703,2.6958,8.28094
DP 241,844.750000000005,0.57533333333333214,0.260333333333333,9.21791,1.52573,6.13469
DP 242,850.75000000000512,0.42600000000000027,0.26099999999999968,9.28312,1.50197,6.14353
DP 243,672.250000000001,0.2606666666666666,0.26166666666666627,9.95344,1.79711,6.77383
DP 244,531.24999999999841,0.31666666666666665,0.262333333333333,10.5483,2.19757,7.47171
DP 245,298.7500000000004,0.38333333333333375,0.26299999999999957,12.6865,3.69014,10.0334
DP 246,337.7500000000004,0.768666666666669,0.26366666666666627,12.0789,3.31635,9.35581
DP 247,294.2500000000004,0.91266666666667229,0.26433333333333292,12.7287,3.74919,10.1136
DP 248,997.75000000000853,0.91666666666667251,0.26499999999999957,8.78724,1.36347,5.75709
DP 249,111.25,0.52599999999999913,0.26566666666666627,19.9243,9.54694,19.5091
DP 250,117.25,0.64866666666666628,0.26633333333333292,19.3818,9.0645,18.7554
DP 251,168.24999999999994,0.39666666666666717,0.26699999999999957,16.1202,6.37613,14.4362
DP 252,505.74999999999869,0.76600000000000223,0.26766666666666628,10.5481,2.31515,7.58921
DP 253,199.74999999999989,0.995333333333341,0.26833333333333287,14.963,5.41843,12.9
DP 254,522.24999999999864,0.44066666666666676,0.26899999999999957,10.5113,2.2451,7.50073
DP 255,390.24999999999989,0.68333333333333368,0.26966666666666617,11.4746,2.90139,8.6387
DP 256,634.75000000000011,0.6873333333333338,0.27033333333333287,9.87025,1.92252,6.85765
DP 257,372.25000000000011,0.93933333333333957,0.27099999999999952,11.6765,3.02501,8.86326
DP 258,937.75000000000716,0.62999999999999912,0.27166666666666617,8.9456,1.41952,5.89232
DP 259,348.25000000000034,0.35400000000000026,0.27233333333333287,12.0093,3.20932,9.21396
DP 260,216.24999999999989,0.41666666666666696,0.27299999999999952,14.3984,5.01126,12.2105
DP 261,546.24999999999829,0.46866666666666651,0.27366666666666617,10.3516,2.16059,7.33641
DP 262,784.75000000000364,0.57266666666666544,0.27433333333333287,9.3516,1.62843,6.30423
DP 263,642.25000000000034,0.45133333333333331,0.27499999999999947,9.89898,1.88491,6.8344
DP 264,478.749999999999,0.72333333333333472,0.27566666666666617,10.7243,2.43505,7.79722
DP 265,892.75000000000614,0.44466666666666677,0.27633333333333276,9.1207,1.45779,6.01814
DP 266,771.2500000000033,0.3806666666666671,0.27699999999999947,9.48432,1.62801,6.37017
DP 267,861.25000000000534,0.51533333333333264,0.27766666666666612,9.15357,1.50267,6.07945
DP 268,615.24999999999966,0.29133333333333322,0.27833333333333277,10.1185,1.95142,7.01066
DP 269,100.75,0.57799999999999874,0.27899999999999947,21.0981,10.5237,21.0727
DP 270,534.24999999999841,0.66333333333333322,0.27966666666666612,10.3669,2.22028,7.4037
DP 271,882.25000000000591,0.58599999999999863,0.28033333333333277,9.06542,1.48316,6.01587
DP 272,718.750000000002,0.56866666666666543,0.28099999999999947,9.54926,1.73891,6.51354
DP 273,643.75000000000034,0.4859999999999996,0.28166666666666607,9.85977,1.89731,6.82719
DP 274,436.74999999999937,0.71800000000000108,0.28233333333333277,11.0368,2.63636,8.15478
DP 275,552.24999999999818,0.70333333333333425,0.28299999999999936,10.2551,2.16553,7.29305
DP 276,426.24999999999955,0.71266666666666767,0.28366666666666607,11.1244,2.69705,8.25924
DP 277,897.25000000000625,0.43666666666666681,0.28433333333333272,9.09047,1.45402,5.99925
DP 278,382.74999999999994,0.85133333333333749,0.28499999999999936,11.5486,2.96536,8.73965
DP 279,819.25000000000443,0.314,0.28566666666666607,9.38141,1.54658,6.23728
DP 280,984.25000000000819,0.72200000000000131,0.28633333333333272,8.79455,1.38203,5.77931
DP 281,556.74999999999841,0.39800000000000052,0.28699999999999937,10.2994,2.12723,7.27691
DP 282,397.74999999999977,0.41000000000000042,0.28766666666666607,11.4242,2.85803,8.57012
DP 283,715.750000000002,0.47133333333333316,0.28833333333333266,9.57489,1.74804,6.53549
DP 284,981.25000000000819,0.73400000000000154,0.28899999999999937,8.79531,1.37887,5.77653
DP 285,754.750000000003,0.47666666666666641,0.28966666666666596,9.44158,1.67013,6.39091
DP 286,231.24999999999997,0.41400000000000037,0.29033333333333267,13.9759,4.70048,11.6884
DP 287,939.25000000000716,0.3113333333333333,0.29099999999999931,9.08504,1.38604,5.92856
DP 288,951.2500000000075,0.49666666666666615,0.29166666666666596,8.91226,1.4068,5.86293
DP 289,814.75000000000432,0.45666666666666655,0.29233333333333267,9.26488,1.57917,6.21161
DP 290,811.75000000000421,0.33533333333333348,0.29299999999999932,9.35891,1.56247,6.24192
DP 291,394.74999999999983,0.88733333333333841,0.29366666666666597,11.4298,2.87718,8.59207
DP 292,171.24999999999991,0.95666666666667344,0.29433333333333267,16.0811,6.25776,14.2983
DP 293,823.75000000000455,0.34733333333333349,0.29499999999999926,9.30924,1.54546,6.20009
DP 294,606.24999999999955,0.20466666666666669,0.29566666666666597,10.2029,1.96755,7.06898
DP 295,669.25000000000091,0.63799999999999923,0.29633333333333256,9.69437,1.8452,6.69239
DP 296,576.24999999999886,0.32866666666666672,0.29699999999999926,10.2181,2.06972,7.17876
DP 297,375.25000000000006,0.92066666666667252,0.29766666666666591,11.6413,2.99318,8.81382
DP 298,142.74999999999997,0.22333333333333336,0.29833333333333256,17.483,7.48059,16.2221
DP 299,946.75000000000739,0.29399999999999993,0.29899999999999927,9.0615,1.37903,5.90978
DP 300,898.75000000000625,0.863333333333338,0.29966666666666592,8.9712,1.48077,5.96637
DP 301,580.74999999999886,0.91133333333333888,0.30033333333333256,10.1033,2.06991,7.12153
DP 302,912.25000000000659,0.37133333333333368,0.30099999999999927,9.05029,1.43785,5.963
